set,scene,imgfile,seen,novel,novelmaybe,familiarmaybe,familiar
A,outside_nat,sun_aipbvhhqfltkzbkb.png,novel,4,8,8,6
A,outside_nat,sun_ajdttxqzdyzrxwgb.png,familiar,9,7,1,9
A,outside_nat,sun_ajdttxqzdyzrxwgb.png,novel,11,10,3,3
A,outside_nat,sun_ajpdesmpmbcnhujq.png,familiar,4,5,11,NA
A,outside_nat,sun_ajpdesmpmbcnhujq.png,novel,11,7,9,4
A,outside_nat,sun_amorhjceepsevpie.png,familiar,4,5,9,6
A,outside_nat,sun_amorhjceepsevpie.png,novel,8,3,10,6
A,outside_nat,sun_anbimwjszaokyqiw.png,familiar,12,7,4,1
A,outside_nat,sun_anbimwjszaokyqiw.png,novel,8,6,7,2
A,outside_nat,sun_ancumhmsbxcihhtp.png,familiar,9,5,9,6
A,outside_nat,sun_ancumhmsbxcihhtp.png,novel,5,1,12,4
A,outside_nat,sun_aofakjvzflfwxapl.png,familiar,5,3,5,4
A,outside_nat,sun_aofakjvzflfwxapl.png,novel,14,8,7,3
A,outside_nat,sun_apxdlklioepthkgw.png,familiar,10,9,8,6
A,outside_nat,sun_apxdlklioepthkgw.png,novel,10,4,3,NA
A,outside_nat,sun_atairfpicwcmswbb.png,familiar,4,4,12,11
A,outside_nat,sun_atairfpicwcmswbb.png,novel,2,2,7,10
A,outside_nat,sun_atjvpizdlvlfluni.png,familiar,10,6,7,5
A,outside_nat,sun_atjvpizdlvlfluni.png,novel,3,7,7,2
A,outside_nat,sun_atkmuptskkmzkdpk.png,familiar,5,8,7,3
A,outside_nat,sun_atkmuptskkmzkdpk.png,novel,2,8,11,3
A,outside_nat,sun_avyaxgkxlaeedguu.png,familiar,7,2,7,5
A,outside_nat,sun_avyaxgkxlaeedguu.png,novel,8,7,3,3
A,outside_nat,sun_axmvhnqbyqknulko.png,familiar,8,9,6,7
A,outside_nat,sun_axmvhnqbyqknulko.png,novel,12,9,6,3
A,outside_nat,sun_azwqfihcsoflfihf.png,familiar,1,3,7,8
A,outside_nat,sun_azwqfihcsoflfihf.png,novel,6,12,9,4
A,outside_nat,sun_bdtazuhapgwbydoi.png,familiar,10,11,7,5
A,outside_nat,sun_bdtazuhapgwbydoi.png,novel,10,7,5,2
A,outside_nat,sun_bdynfewnzhagkaes.png,familiar,7,11,7,1
A,outside_nat,sun_bdynfewnzhagkaes.png,novel,7,11,5,NA
A,outside_nat,sun_bgdsdzkbpjwsdvzg.png,familiar,6,5,6,6
A,outside_nat,sun_bgdsdzkbpjwsdvzg.png,novel,5,7,5,1
A,outside_nat,sun_bgibqzzsihgolcxc.png,familiar,5,8,8,8
A,outside_nat,sun_bgibqzzsihgolcxc.png,novel,3,2,12,4
A,outside_nat,sun_bgqsphccbnklxlqu.png,familiar,7,5,6,4
A,outside_nat,sun_bgqsphccbnklxlqu.png,novel,6,7,11,6
A,outside_nat,sun_birbwwpwtfeczupo.png,familiar,3,3,8,12
A,outside_nat,sun_birbwwpwtfeczupo.png,novel,6,2,7,4
A,outside_nat,sun_biykcvrzhhhqlcep.png,familiar,2,3,14,6
A,outside_nat,sun_biykcvrzhhhqlcep.png,novel,4,7,11,9
A,outside_nat,sun_bkkgqovtrozgolhf.png,familiar,7,4,6,5
A,outside_nat,sun_bkkgqovtrozgolhf.png,novel,6,7,10,5
A,outside_nat,sun_blyaxgejkrkfutoi.png,familiar,1,6,14,8
A,outside_nat,sun_blyaxgejkrkfutoi.png,novel,6,5,9,6
A,outside_nat,sun_bpqombtghzcbglwk.png,familiar,6,6,9,4
A,outside_nat,sun_bpqombtghzcbglwk.png,novel,6,8,8,6
A,outside_nat,sun_bqrvvaeesruldqsk.png,familiar,9,4,9,2
A,outside_nat,sun_bqrvvaeesruldqsk.png,novel,7,12,7,1
A,outside_nat,sun_bszkvmcyydyhpqdu.png,familiar,8,6,8,NA
A,outside_nat,sun_bszkvmcyydyhpqdu.png,novel,6,11,4,2
A,outside_nat,sun_bvtpjuydnnzmqcwv.png,familiar,6,3,12,5
A,outside_nat,sun_bvtpjuydnnzmqcwv.png,novel,7,9,9,3
A,outside_nat,sun_bymmpcljitwmrebr.png,familiar,9,3,5,NA
A,outside_nat,sun_bymmpcljitwmrebr.png,novel,11,7,9,4
A,outside_nat,sun_bzvypibloyofysgl.png,familiar,8,5,7,5
A,outside_nat,sun_bzvypibloyofysgl.png,novel,5,7,5,5
B,inside,sun_0ktvuinccdrmemdb.png,familiar,11,8,5,3
B,inside,sun_0ktvuinccdrmemdb.png,novel,16,7,4,5
B,inside,sun_aaaezlmwnuubqwpb.png,familiar,7,8,8,2
B,inside,sun_aaaezlmwnuubqwpb.png,novel,16,2,10,6
B,inside,sun_aaczmpbmprzjcofd.png,familiar,17,9,2,2
B,inside,sun_aaczmpbmprzjcofd.png,novel,20,8,3,NA
B,inside,sun_aaeivpaottmutnqm.png,familiar,18,6,5,3
B,inside,sun_aaeivpaottmutnqm.png,novel,18,6,3,1
B,inside,sun_aaeycnkjwmvweywi.png,familiar,12,12,2,2
B,inside,sun_aaeycnkjwmvweywi.png,novel,21,8,1,1
B,inside,sun_aafkyzekyiexahmz.png,familiar,12,9,8,4
B,inside,sun_aafkyzekyiexahmz.png,novel,11,4,7,3
B,inside,sun_aaguxgrqaehrwaip.png,familiar,18,5,2,8
B,inside,sun_aaguxgrqaehrwaip.png,novel,19,4,4,1
B,inside,sun_aahutlxpfsmsmmqi.png,familiar,17,4,10,5
B,inside,sun_aahutlxpfsmsmmqi.png,novel,11,8,2,3
B,inside,sun_aaiuzbtklnxpvzbv.png,familiar,20,7,5,3
B,inside,sun_aaiuzbtklnxpvzbv.png,novel,12,5,4,4
B,inside,sun_aajprzhesstyaktd.png,familiar,12,11,4,2
B,inside,sun_aajprzhesstyaktd.png,novel,11,8,9,3
B,inside,sun_aajspcoepticvplv.png,familiar,21,7,7,3
B,inside,sun_aajspcoepticvplv.png,novel,11,5,2,4
B,inside,sun_aajuhnhxgwkyyrwb.png,familiar,18,4,2,7
B,inside,sun_aajuhnhxgwkyyrwb.png,novel,25,5,NA,NA
B,inside,sun_aakejyolaigkvisc.png,familiar,24,6,4,2
B,inside,sun_aakejyolaigkvisc.png,novel,10,6,3,3
B,inside,sun_aakuktqwgbgavllp.png,familiar,18,6,1,5
B,inside,sun_aakuktqwgbgavllp.png,novel,17,8,2,1
B,inside,sun_aamjvvtynbmxfheq.png,familiar,18,8,5,2
B,inside,sun_aamjvvtynbmxfheq.png,novel,11,5,5,5
B,inside,sun_aampvkbsihnfucrn.png,familiar,14,8,4,4
B,inside,sun_aampvkbsihnfucrn.png,novel,12,6,8,2
B,inside,sun_aamrqohnymdzzcsm.png,familiar,19,8,2,2
B,inside,sun_aamrqohnymdzzcsm.png,novel,15,5,5,4
B,inside,sun_aanbmbnyyowsobsg.png,familiar,10,7,4,6
B,inside,sun_aanbmbnyyowsobsg.png,novel,13,5,10,4
B,inside,sun_aanvbkentoawqquo.png,familiar,8,2,10,12
B,inside,sun_aanvbkentoawqquo.png,novel,13,6,4,5
B,inside,sun_aanzabthnsqaomio.png,familiar,10,11,6,1
B,inside,sun_aanzabthnsqaomio.png,novel,23,4,2,2
B,inside,sun_aaoyqijdfqbzwraw.png,familiar,17,6,3,1
B,inside,sun_aaoyqijdfqbzwraw.png,novel,23,6,5,NA
B,inside,sun_aaqhalpndqfclyti.png,familiar,10,9,8,5
B,inside,sun_aaqhalpndqfclyti.png,novel,11,8,5,3
B,inside,sun_aaqqcbxvhtgfloyu.png,familiar,8,7,7,8
B,inside,sun_aaqqcbxvhtgfloyu.png,novel,14,7,9,1
B,inside,sun_aaruuebeoybyaqmu.png,familiar,21,4,1,2
B,inside,sun_aaruuebeoybyaqmu.png,novel,22,5,5,1
B,inside,sun_aasdufdzroddfmmw.png,familiar,11,6,10,3
B,inside,sun_aasdufdzroddfmmw.png,novel,16,5,7,NA
B,inside,sun_aatezwwkfesvyuij.png,familiar,17,1,5,5
B,inside,sun_aatezwwkfesvyuij.png,novel,19,4,6,2
B,inside,sun_aawjsoxboluadxgw.png,familiar,10,5,4,4
B,inside,sun_aawjsoxboluadxgw.png,novel,13,10,10,4
B,inside,sun_aawpvmrpwqvdtgzt.png,familiar,9,6,4,8
B,inside,sun_aawpvmrpwqvdtgzt.png,novel,21,8,4,1
B,inside,sun_aawzwijpmowksmpn.png,familiar,14,8,5,3
B,inside,sun_aawzwijpmowksmpn.png,novel,16,3,7,1
B,inside,sun_aaxoyiyedszmasjo.png,familiar,19,5,5,10
B,inside,sun_aaxoyiyedszmasjo.png,novel,12,8,1,1
B,inside,sun_aaxzhukkwykojsek.png,familiar,14,7,3,NA
B,inside,sun_aaxzhukkwykojsek.png,novel,20,13,3,1
B,inside,sun_aaydtryfnfbvlvli.png,familiar,11,5,3,7
B,inside,sun_aaydtryfnfbvlvli.png,novel,23,6,3,NA
B,inside,sun_aaylakcooequagux.png,familiar,11,8,2,1
B,inside,sun_aaylakcooequagux.png,novel,20,9,6,3
B,inside,sun_abaergayifsgacxt.png,familiar,10,8,6,10
B,inside,sun_abaergayifsgacxt.png,novel,11,4,6,5
B,inside,sun_abakyssezpogcttw.png,familiar,9,2,11,5
B,inside,sun_abakyssezpogcttw.png,novel,12,6,9,4
B,inside,sun_abbahynvuqekslgb.png,familiar,19,6,1,2
B,inside,sun_abbahynvuqekslgb.png,novel,25,2,1,1
B,inside,sun_abfapslzvjbwpbfq.png,familiar,17,2,2,11
B,inside,sun_abfapslzvjbwpbfq.png,novel,19,3,3,3
B,inside,sun_abmbwwayihjktmqb.png,familiar,9,8,4,7
B,inside,sun_abmbwwayihjktmqb.png,novel,14,3,7,6
B,inside,sun_abntrinbqbsqoowj.png,familiar,13,7,9,6
B,inside,sun_abntrinbqbsqoowj.png,novel,13,6,7,NA
B,inside,sun_abqowuarvqqcnipn.png,familiar,7,8,3,10
B,inside,sun_abqowuarvqqcnipn.png,novel,22,7,1,3
B,inside,sun_abrfwthdzagzztaq.png,familiar,13,7,6,1
B,inside,sun_abrfwthdzagzztaq.png,novel,16,5,7,4
B,inside,sun_abrnurmopsgqkxvn.png,familiar,16,7,5,1
B,inside,sun_abrnurmopsgqkxvn.png,novel,15,2,11,3
B,inside,sun_abrqvtngwzzkyunp.png,familiar,9,8,4,7
B,inside,sun_abrqvtngwzzkyunp.png,novel,15,9,5,2
B,inside,sun_abslarjcldcebort.png,familiar,18,6,3,2
B,inside,sun_abslarjcldcebort.png,novel,17,11,1,3
B,inside,sun_abwmjfnrmqjdltxn.png,familiar,16,2,9,NA
B,inside,sun_abwmjfnrmqjdltxn.png,novel,13,8,3,3
B,inside,sun_abzjxlmkwnwzimua.png,familiar,15,5,4,5
B,inside,sun_abzjxlmkwnwzimua.png,novel,18,5,7,1
B,inside,sun_abzoglkibwvlanfr.png,familiar,15,10,2,1
B,inside,sun_abzoglkibwvlanfr.png,novel,17,9,4,2
B,inside,sun_accyvmvbgmzabmow.png,familiar,12,9,3,3
B,inside,sun_accyvmvbgmzabmow.png,novel,16,11,3,2
B,inside,sun_acerznjesvvkvymi.png,familiar,13,4,5,8
B,inside,sun_acerznjesvvkvymi.png,novel,14,8,6,1
B,outside_man,sun_aaalcefznkjgkkdo.png,familiar,13,4,6,2
B,outside_man,sun_aaalcefznkjgkkdo.png,novel,12,2,3,1
B,outside_man,sun_aaancoinbvtdypbc.png,familiar,15,3,4,4
B,outside_man,sun_aaancoinbvtdypbc.png,novel,7,5,NA,3
B,outside_man,sun_aabgqlyidjxjvsvx.png,familiar,11,4,6,1
B,outside_man,sun_aabgqlyidjxjvsvx.png,novel,15,6,1,2
B,outside_man,sun_aacclhfjjpnqvtbz.png,familiar,9,6,5,3
B,outside_man,sun_aacclhfjjpnqvtbz.png,novel,14,7,3,1
B,outside_man,sun_aafcenazuuykcysr.png,familiar,13,2,9,9
B,outside_man,sun_aafcenazuuykcysr.png,novel,2,7,2,NA
B,outside_man,sun_aajumnzgihznlagm.png,familiar,9,3,8,5
B,outside_man,sun_aajumnzgihznlagm.png,novel,9,1,3,2
B,outside_man,sun_aajuzribjrizdshh.png,familiar,7,2,6,1
B,outside_man,sun_aajuzribjrizdshh.png,novel,13,7,5,1
B,outside_man,sun_aanszwuidyonrpfe.png,familiar,9,6,6,NA
B,outside_man,sun_aanszwuidyonrpfe.png,novel,12,5,3,3
B,outside_man,sun_aaoambggxfqxoibv.png,familiar,11,4,4,2
B,outside_man,sun_aaoambggxfqxoibv.png,novel,13,6,2,NA
B,outside_man,sun_aavgffdllieopxov.png,familiar,9,7,7,1
B,outside_man,sun_aavgffdllieopxov.png,novel,14,2,3,1
B,outside_man,sun_aawwwkzunboneeyy.png,familiar,10,8,3,7
B,outside_man,sun_aawwwkzunboneeyy.png,novel,15,3,1,2
B,outside_man,sun_aaxbnfjjlyocwwwo.png,familiar,10,3,1,2
B,outside_man,sun_aaxbnfjjlyocwwwo.png,novel,23,6,1,1
B,outside_man,sun_aaxirkpajectciho.png,familiar,10,4,3,4
B,outside_man,sun_aaxirkpajectciho.png,novel,16,5,2,3
B,outside_man,sun_aaxppqqoemukaosc.png,familiar,12,4,4,3
B,outside_man,sun_aaxppqqoemukaosc.png,novel,12,6,6,NA
B,outside_man,sun_aazepdqhrojqunox.png,familiar,9,3,3,4
B,outside_man,sun_aazepdqhrojqunox.png,novel,16,3,3,2
B,outside_man,sun_abccjavmhpzzenxf.png,familiar,9,3,4,4
B,outside_man,sun_abccjavmhpzzenxf.png,novel,10,8,4,NA
B,outside_man,sun_abgbtmeglahqlsmz.png,familiar,8,6,1,6
B,outside_man,sun_abgbtmeglahqlsmz.png,novel,16,4,4,1
B,outside_man,sun_abiwezihcfaufuiw.png,familiar,12,2,5,5
B,outside_man,sun_abiwezihcfaufuiw.png,novel,13,4,4,NA
B,outside_man,sun_abjgcvejnikiqaly.png,familiar,7,4,4,2
B,outside_man,sun_abjgcvejnikiqaly.png,novel,12,8,4,3
B,outside_man,sun_abjkwkawctptshmr.png,familiar,6,5,7,NA
B,outside_man,sun_abjkwkawctptshmr.png,novel,11,8,6,3
B,outside_man,sun_abnrpxwqomrizaxl.png,familiar,12,3,3,1
B,outside_man,sun_abnrpxwqomrizaxl.png,novel,11,9,4,2
B,outside_man,sun_abscglgenasvhlpp.png,familiar,8,6,6,2
B,outside_man,sun_abscglgenasvhlpp.png,novel,4,9,2,2
B,outside_man,sun_absfbbobjbzkaliz.png,familiar,14,6,1,4
B,outside_man,sun_absfbbobjbzkaliz.png,novel,13,1,3,2
B,outside_man,sun_abspkwkylqkddaxr.png,familiar,5,3,5,4
B,outside_man,sun_abspkwkylqkddaxr.png,novel,14,4,2,3
B,outside_man,sun_abtzbdcoykoqzupl.png,familiar,14,6,5,3
B,outside_man,sun_abtzbdcoykoqzupl.png,novel,9,3,4,1
B,outside_man,sun_abumpirxzvwuqwvp.png,familiar,9,2,4,6
B,outside_man,sun_abumpirxzvwuqwvp.png,novel,9,4,8,1
B,outside_man,sun_abuxdbyqfhrcggnx.png,familiar,9,9,2,5
B,outside_man,sun_abuxdbyqfhrcggnx.png,novel,10,4,2,1
B,outside_man,sun_abvparldyjthmojd.png,familiar,8,4,4,6
B,outside_man,sun_abvparldyjthmojd.png,novel,12,6,5,1
