imgfile,saw,said_no,said_maybe,said_yes
A/outside_nat/sun_bqrvvaeesruldqsk.png,FALSE,8,14,16
B/inside/sun_aaxoyiyedszmasjo.png,FALSE,14,9,16
B/outside_man/sun_aaalcefznkjgkkdo.png,FALSE,12,4,16
B/outside_man/sun_aaoambggxfqxoibv.png,FALSE,14,8,16
B/outside_man/sun_abtzbdcoykoqzupl.png,FALSE,10,3,16
B/outside_man/sun_acebwlwlbivavdcn.png,FALSE,14,5,16
B/outside_nat/sun_aajnqdxhijoxoqzu.png,FALSE,9,9,16
A/outside_man/sun_aadopnnweznhggye.png,FALSE,12,11,15
A/outside_man/sun_bezqwfdkvrlqbokm.png,FALSE,13,15,15
A/outside_man/sun_bqyrpmzmnorhqiuj.png,FALSE,12,7,15
A/outside_nat/sun_apxdlklioepthkgw.png,FALSE,10,5,15
A/outside_nat/sun_avyaxgkxlaeedguu.png,FALSE,9,7,15
A/outside_nat/sun_bzvypibloyofysgl.png,FALSE,5,10,15
B/outside_man/sun_aajumnzgihznlagm.png,FALSE,10,3,15
B/outside_man/sun_abccjavmhpzzenxf.png,FALSE,11,8,15
B/outside_man/sun_abuxdbyqfhrcggnx.png,FALSE,11,4,15
B/outside_nat/sun_aacbgqunsjqeatcv.png,FALSE,8,7,15
B/outside_nat/sun_aacgcodmtsyjjmbx.png,FALSE,9,7,15
B/outside_nat/sun_abadecjsoottqgbp.png,FALSE,9,3,15
A/inside/sun_abnptawlxcjefrmi.png,FALSE,11,16,14
A/outside_man/sun_acljdhtouiwvalkv.png,FALSE,11,10,14
A/outside_man/sun_azxxdozadjohyntn.png,TRUE,16,7,14
A/outside_man/sun_bgxdivhitpqnkgdr.png,FALSE,9,21,14
A/outside_nat/sun_atjvpizdlvlfluni.png,FALSE,3,7,14
A/outside_nat/sun_birbwwpwtfeczupo.png,TRUE,6,8,14
A/outside_nat/sun_bszkvmcyydyhpqdu.png,FALSE,7,12,14
B/outside_nat/sun_aacegqrsghanpufn.png,FALSE,12,8,14
B/outside_nat/sun_aagzczontectgtzw.png,FALSE,10,8,14
B/outside_nat/sun_aalltyvjhbzhkmvg.png,FALSE,7,6,14
A/outside_nat/sun_bgdsdzkbpjwsdvzg.png,FALSE,6,7,13
B/outside_nat/sun_aaansjgvhbrbxvvk.png,TRUE,10,7,13
B/outside_nat/sun_abfqnimhfodrmbor.png,FALSE,9,6,13
A/outside_man/sun_azxxdozadjohyntn.png,FALSE,9,9,12
A/outside_nat/sun_ahqrsjhcscxlyxuq.png,FALSE,8,12,12
A/outside_nat/sun_atairfpicwcmswbb.png,TRUE,8,12,12
A/outside_nat/sun_bdynfewnzhagkaes.png,FALSE,7,12,12
B/inside/sun_aanvbkentoawqquo.png,TRUE,10,10,12
B/inside/sun_abfapslzvjbwpbfq.png,TRUE,21,3,12
B/inside/sun_abqowuarvqqcnipn.png,TRUE,18,3,12
B/outside_man/sun_aaancoinbvtdypbc.png,FALSE,8,6,12
B/outside_man/sun_accnapeyuiitgzxz.png,TRUE,8,7,12
B/outside_nat/sun_aalxbocnraukuels.png,FALSE,8,4,12
B/outside_nat/sun_abaifaanomiouwiq.png,FALSE,3,6,12
A/outside_man/sun_aaafvavryivlwifa.png,TRUE,11,15,11
A/outside_man/sun_ahsknmkvyzjvzpic.png,TRUE,16,5,11
A/outside_nat/sun_ajdttxqzdyzrxwgb.png,TRUE,17,1,11
B/outside_nat/sun_aalcoddsgakiyibg.png,TRUE,9,5,11
A/inside/sun_audojkeusubmhhcn.png,TRUE,18,2,10
A/inside/sun_bdmgmqsmmqkthilp.png,TRUE,27,13,10
A/inside/sun_bzybqfaecwsubwwo.png,TRUE,22,6,10
A/outside_man/sun_abcpbpidmlveztau.png,TRUE,15,3,10
A/outside_man/sun_aqmtgbkdkyckgdyy.png,TRUE,14,11,10
A/outside_man/sun_aqvlqqorjorxjwnh.png,TRUE,14,6,10
A/outside_man/sun_astlunkqpzghjdau.png,TRUE,15,4,10
A/outside_man/sun_auprwsaegvmiaiwa.png,TRUE,13,12,10
A/outside_man/sun_bqyrpmzmnorhqiuj.png,TRUE,22,5,10
A/outside_nat/sun_aipbvhhqfltkzbkb.png,TRUE,15,7,10
A/outside_nat/sun_bgibqzzsihgolcxc.png,TRUE,14,8,10
B/inside/sun_aaxoyiyedszmasjo.png,TRUE,25,6,10
B/inside/sun_abaergayifsgacxt.png,TRUE,19,7,10
A/inside/sun_akihpnhiblchzhgq.png,TRUE,25,2,9
A/inside/sun_atlilrtpaebzoyhp.png,TRUE,25,2,9
A/outside_nat/sun_adeqcskxygdmtcul.png,TRUE,8,8,9
A/outside_nat/sun_azwqfihcsoflfihf.png,TRUE,4,9,9
B/inside/sun_aaqqcbxvhtgfloyu.png,TRUE,16,9,9
B/inside/sun_aawpvmrpwqvdtgzt.png,TRUE,16,4,9
B/inside/sun_acerznjesvvkvymi.png,TRUE,19,5,9
B/outside_man/sun_aafcenazuuykcysr.png,TRUE,16,9,9
B/outside_nat/sun_aanfjwabnufovale.png,FALSE,2,12,9
A/inside/sun_driyvaqmmhjdxhuk.png,TRUE,17,5,8
A/outside_man/sun_abmwkkexqzjttlyv.png,TRUE,17,5,8
A/outside_man/sun_acljdhtouiwvalkv.png,TRUE,19,6,8
A/outside_nat/sun_ancumhmsbxcihhtp.png,TRUE,14,9,8
A/outside_nat/sun_axmvhnqbyqknulko.png,TRUE,18,6,8
A/outside_nat/sun_blyaxgejkrkfutoi.png,TRUE,10,15,8
B/inside/sun_aaguxgrqaehrwaip.png,TRUE,27,3,8
B/inside/sun_aaydtryfnfbvlvli.png,TRUE,18,3,8
B/outside_man/sun_aawwwkzunboneeyy.png,TRUE,20,4,8
B/outside_man/sun_abscglgenasvhlpp.png,FALSE,4,10,8
B/outside_man/sun_abvparldyjthmojd.png,TRUE,13,4,8
B/outside_nat/sun_aaarffxrewgissla.png,TRUE,8,5,8
B/outside_nat/sun_aanfjwabnufovale.png,TRUE,16,4,8
A/inside/sun_aawinctpjwdokiof.png,TRUE,23,4,7
A/inside/sun_biumuljdnxnqtlcf.png,TRUE,33,6,7
A/outside_nat/sun_biykcvrzhhhqlcep.png,TRUE,5,16,7
B/inside/sun_aajuhnhxgwkyyrwb.png,TRUE,24,2,7
B/inside/sun_abmbwwayihjktmqb.png,TRUE,18,4,7
B/inside/sun_abrqvtngwzzkyunp.png,TRUE,19,5,7
B/outside_man/sun_abumpirxzvwuqwvp.png,TRUE,13,4,7
B/outside_man/sun_acevqiqryuokiacc.png,TRUE,10,5,7
B/outside_nat/sun_aabtemlmesogqbbp.png,TRUE,8,4,7
B/outside_nat/sun_aafqfjpechscyidz.png,TRUE,11,9,7
B/outside_nat/sun_aalxbocnraukuels.png,TRUE,20,4,7
A/inside/sun_abmkzxvudrcajnle.png,TRUE,28,3,6
A/inside/sun_agvgmjswjlfrnaqe.png,TRUE,42,3,6
A/inside/sun_aqqqvkeocxjjbmvb.png,TRUE,21,6,6
A/inside/sun_aryhzqtgzrsfoydv.png,TRUE,37,4,6
A/inside/sun_auipycrgwmfcakvq.png,TRUE,38,3,6
A/inside/sun_ciuexjuasoqmnysa.png,TRUE,27,3,6
A/outside_man/sun_aadopnnweznhggye.png,TRUE,15,5,6
A/outside_man/sun_amiicpnvbwxskvmh.png,TRUE,17,9,6
A/outside_man/sun_aofpsyendjarjvaw.png,TRUE,21,3,6
A/outside_nat/sun_aatvwcgvlmswovhv.png,TRUE,13,5,6
A/outside_nat/sun_amorhjceepsevpie.png,TRUE,9,9,6
A/outside_nat/sun_apxdlklioepthkgw.png,TRUE,20,8,6
A/outside_nat/sun_bgdsdzkbpjwsdvzg.png,TRUE,11,6,6
A/outside_nat/sun_bgqsphccbnklxlqu.png,TRUE,13,8,6
A/outside_nat/sun_bkkgqovtrozgolhf.png,TRUE,11,8,6
A/outside_nat/sun_bvtpjuydnnzmqcwv.png,TRUE,12,13,6
B/inside/sun_aahutlxpfsmsmmqi.png,TRUE,21,10,6
B/inside/sun_aakuktqwgbgavllp.png,TRUE,25,2,6
B/inside/sun_aanbmbnyyowsobsg.png,TRUE,19,5,6
B/inside/sun_aatezwwkfesvyuij.png,TRUE,19,6,6
B/inside/sun_abakyssezpogcttw.png,TRUE,13,12,6
B/inside/sun_abntrinbqbsqoowj.png,TRUE,22,9,6
B/outside_man/sun_abgbtmeglahqlsmz.png,TRUE,14,1,6
B/outside_man/sun_acebwlwlbivavdcn.png,TRUE,15,6,6
B/outside_nat/sun_aacgcodmtsyjjmbx.png,TRUE,6,13,6
B/outside_nat/sun_aagkrwwxayqfeara.png,TRUE,10,11,6
B/outside_nat/sun_aajnqdxhijoxoqzu.png,TRUE,9,9,6
B/outside_nat/sun_aalzlpkakxhogvru.png,TRUE,8,5,6
B/outside_nat/sun_aavmchfjuxkpmnuv.png,TRUE,13,3,6
A/inside/sun_abnptawlxcjefrmi.png,TRUE,37,5,5
A/inside/sun_agxipqjrftuwlwpl.png,TRUE,35,4,5
A/inside/sun_akmrxobzlzsiuhog.png,TRUE,20,8,5
A/inside/sun_asizwxdltgasvzue.png,TRUE,25,10,5
A/inside/sun_auywjwqsitnzurig.png,TRUE,36,4,5
A/outside_nat/sun_aofakjvzflfwxapl.png,TRUE,10,5,5
A/outside_nat/sun_atjvpizdlvlfluni.png,TRUE,16,9,5
A/outside_nat/sun_avyaxgkxlaeedguu.png,TRUE,10,8,5
A/outside_nat/sun_bdtazuhapgwbydoi.png,TRUE,22,8,5
A/outside_nat/sun_bpqombtghzcbglwk.png,TRUE,12,10,5
A/outside_nat/sun_bzvypibloyofysgl.png,TRUE,15,7,5
B/inside/sun_aaqhalpndqfclyti.png,TRUE,22,9,5
B/inside/sun_abzjxlmkwnwzimua.png,TRUE,21,5,5
B/outside_man/sun_aajumnzgihznlagm.png,TRUE,14,8,5
B/outside_man/sun_abiwezihcfaufuiw.png,TRUE,14,5,5
B/outside_man/sun_abuxdbyqfhrcggnx.png,TRUE,20,2,5
B/outside_nat/sun_aaivblcmcmxaurgo.png,TRUE,9,14,5
B/outside_nat/sun_aalltyvjhbzhkmvg.png,TRUE,13,9,5
B/outside_nat/sun_abfqnimhfodrmbor.png,TRUE,16,11,5
A/inside/sun_acfqbzkjnydmqtyi.png,TRUE,24,4,4
A/inside/sun_ahixsbikiamkdlxa.png,TRUE,27,3,4
A/inside/sun_ahsovvjhbcyntaak.png,TRUE,19,12,4
A/inside/sun_akrccmohqijaceco.png,TRUE,28,5,4
A/inside/sun_baremcyvmmyztjyo.png,TRUE,29,8,4
A/inside/sun_bdalroxvuvnihofa.png,TRUE,21,8,4
A/outside_man/sun_advvqhvtshxmmuea.png,TRUE,17,7,4
A/outside_man/sun_aggowhzjwlerlnxs.png,TRUE,23,1,4
A/outside_man/sun_amfbqueyljxzfmur.png,TRUE,12,10,4
A/outside_man/sun_bcwijeqsgwzynmea.png,TRUE,19,6,4
A/outside_man/sun_bdehddycgcokjyqy.png,TRUE,28,3,4
A/outside_man/sun_bgxdivhitpqnkgdr.png,TRUE,19,1,4
A/outside_man/sun_bntjemdeuiznfwzl.png,TRUE,21,6,4
A/outside_nat/sun_afjxqaxhirjblfsw.png,TRUE,19,10,4
A/outside_nat/sun_ailgpfxuysdriobj.png,TRUE,18,5,4
A/outside_nat/sun_atkmuptskkmzkdpk.png,TRUE,14,7,4
B/inside/sun_aafkyzekyiexahmz.png,TRUE,23,9,4
B/inside/sun_aampvkbsihnfucrn.png,TRUE,26,4,4
B/inside/sun_aawjsoxboluadxgw.png,TRUE,17,5,4
B/outside_man/sun_aaancoinbvtdypbc.png,TRUE,19,5,4
B/outside_man/sun_aacclhfjjpnqvtbz.png,TRUE,17,6,4
B/outside_man/sun_aafcenazuuykcysr.png,FALSE,2,9,4
B/outside_man/sun_aaxirkpajectciho.png,TRUE,15,4,4
B/outside_man/sun_aaxppqqoemukaosc.png,TRUE,16,5,4
B/outside_man/sun_aazepdqhrojqunox.png,TRUE,12,4,4
B/outside_man/sun_abccjavmhpzzenxf.png,TRUE,14,4,4
B/outside_man/sun_absfbbobjbzkaliz.png,TRUE,22,1,4
B/outside_man/sun_abspkwkylqkddaxr.png,TRUE,9,7,4
B/outside_man/sun_abtzbdcoykoqzupl.png,TRUE,21,5,4
B/outside_man/sun_acfkaobymiptdeij.png,TRUE,16,1,4
B/outside_nat/sun_aacbgqunsjqeatcv.png,TRUE,22,3,4
B/outside_nat/sun_aamsdbqhyyzabsdt.png,TRUE,10,7,4
B/outside_nat/sun_abaifaanomiouwiq.png,TRUE,8,10,4
B/outside_nat/sun_acfggivnbgypvwex.png,TRUE,11,11,4
A/inside/sun_abhfieooonebxjrg.png,TRUE,32,5,3
A/inside/sun_abpqxslcljhrwmck.png,TRUE,24,8,3
A/inside/sun_adkonpxsblmtdukc.png,TRUE,30,11,3
A/inside/sun_ahnymjevjmixbypi.png,TRUE,25,8,3
A/inside/sun_ahvaoneopufydell.png,TRUE,27,1,3
A/inside/sun_anikjvdrxrywuyvr.png,TRUE,29,6,3
A/inside/sun_axoigjlwlboezeqx.png,TRUE,31,6,3
A/inside/sun_bcxxsjdyzkdxyrzz.png,TRUE,32,1,3
A/inside/sun_blkzrscmyrliztij.png,TRUE,23,9,3
A/inside/sun_bpmmdgszoqryjmdc.png,TRUE,35,4,3
A/inside/sun_bxipjwerkfcyzyri.png,TRUE,31,9,3
A/inside/sun_bxzowyjwupekdsyz.png,TRUE,23,10,3
A/inside/sun_dzuamfdvfbbjouau.png,TRUE,24,4,3
A/outside_man/sun_acojhtjciuciuhey.png,TRUE,18,11,3
A/outside_man/sun_aputwudvfhsgcsgg.png,TRUE,23,3,3
A/outside_man/sun_bjeuogjtlonvfbet.png,TRUE,17,2,3
A/outside_man/sun_bwlcxhprfyrowoam.png,TRUE,20,3,3
A/outside_nat/sun_ahqrsjhcscxlyxuq.png,TRUE,21,4,3
B/inside/sun_0ktvuinccdrmemdb.png,TRUE,21,5,3
